who_paid,amount,ali,rayhan,sezan,md,nabid,remarks
sezan,21600,True,True,True,True,True,"hotel booking
"
sezan,31250,True,True,True,True,True,"Nikko pass
"
sezan,1500,True,True,True,True,True,"second day nasta
"
sezan,5800,True,False,True,True,True,"second day train
"
ali,1500,False,False,False,False,True,"kebab & balish
"
sezan,1153,False,False,False,False,True,"day 1 gusto
"
sezan,933,False,False,False,True,False,"day 1 gusto
"
sezan,1153,False,True,False,False,False,"day 1 gusto
"
sezan,1702,True,False,False,False,False,"day 1 gusto
"
sezan,0,False,False,True,False,False,"day 1 gusto: did not mention
"
ali,850,False,False,False,False,True,"day 2 kebab
"
ali,1200,False,False,False,True,False,"day 2 kebab
"
ali,2450,False,False,True,False,False,"day 2 kebab
"
ali,0,True,False,False,False,False,"day 2 kebab: did not mention
"
ali,330,False,True,False,False,False,"day 1 gusto: corn half
"
